Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-10,$spy $spx $compq $ndx $qqq $tsla $fsr $pltr $aapl $amzn $twtr $fb $msft $nflx Futures $xspa $crm $penn $nvda $googl $shop $spot $etsyPolk busted Daniel viciously ,-0.3182,0.084,0.916,0.0
2020-12-10,"Clearly, $TWTR is getting better at ad targeting!  This was on my promoted tweets. ",0.8268,0.0,0.559,0.441
2020-12-10,My other car is a $SILVER $TSLA$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $crm $c $amzn $wfc $bac $work $docu $ba $mrna $gold $baba $fb $nflx $cgc $twtr $gs $jpm $ino $spce $ibm $intc $pfe $xlf $xom $xle $ibb $gbtc $wmt $eurusd $sil $googl $cat $googl $spy $qqq ,0.0,0.0,1.0,0.0
2020-12-10,"Twitter Inc (TWTR) price at close, 2020-12-10, is 51.21.",0.0,0.0,1.0,0.0
2020-12-10,Days In Review - 12/9 and 12/10$AAPL $AMD $AMZN $BA $BABA $BYND $CAT $CCL $DKNG $CGC $CRON $DD $FB $FSLY $GOOGL $IWM $JD $MRNA $MSFT $NFLX $NIO $NKLA $NVDA $PENN $PFE $PLUG $QQQ $ROKU $SNAP $SPY $TSLA $TWTR $UBERoptionstrading options trading ,0.0,0.0,1.0,0.0
2020-12-10,$spy $spx $compq $ndx $qqq $tsla $fsr $pltr $aapl $amzn $twtr $fb $msft $nflx Futures $xspa $crm $penn $nvda $googl $shop $spot $etsy ,0.0,0.0,1.0,0.0
2020-12-10, ( $SNAP ) Snap Inc introduces Twitter ( $TWTR ) integration that lets users share tweets directly to their Snapchat accou…,0.296,0.0,0.879,0.121
2020-12-10,Raise your hand if you've closed Twitter &amp; then the next thing you do is open TwitterThis is why I've always owned $twtr stock,0.4939,0.0,0.878,0.122
2020-12-10, The Top Advertisers on Walmart:1. ???2. L'Oreal3. GoogleAll the data:  ML…,0.327,0.0,0.81,0.19
2020-12-10, Category Overview of stocks I track:Media: +4.71%; 10 of 11 Up (&gt;=5%: $TTGT $PERI $CDLX)Leisure: +3.54%; 21 of 27 Up…,0.0,0.0,1.0,0.0
2020-12-10,"A beautiful inside &amp; out being, that treasures friendship &amp; love utmost ❤️, i first saw him on twtr with the lgbt flag, i was shocked a kpop idol holding one wow, sure its different from wht i used to know, it attracts me to know why bold move, so i dug deeper into his life, 💙🐶 ",0.9716,0.033,0.604,0.363
2020-12-10," Trump quoted a ""Trump fan at Georgia Rally on OANN,"" saying ""This is going to escalate dramatically. This is a very danger…",0.3182,0.0,0.892,0.108
2020-12-10, I'm going to say the $twtr party is just getting warmed up ,0.5859,0.0,0.676,0.324
2020-12-10,The Top Advertisers on Walmart:1. ???2. L'Oreal3. GoogleAll the data:  ML AI Advertising Insights Netflix Streaming digitalart CutTheCord Stocks datavis  $NFLX $TWTR $FB $SNAP $ROKU $ET $LI $CGC $PLUG $AMC $DKNG $V $SQ $T $PINS ,0.327,0.0,0.936,0.064
2020-12-10,No words and not the first time   bugged crashed streamerlife twitch Cyberpunk2077 GIVEAWAYgo check out my twitter. ,-0.296,0.121,0.879,0.0
2020-12-10,Tesla completes $5 billion stock sale in one day📰 »  ,0.0,0.0,1.0,0.0
